Area;Year;Month;Labor Force;Employed;Unemployed;Unemployment Rate                                                                                                                                                                      
Albany County;2022;1;156800;151300;5500;03. Mai
Albany County;2022;2;157200;151500;5700;03. Jun
Albany County;2022;3;157900;152700;5200;03. MŠr
Albany County;2022;4;158600;154200;4400;02. Aug
Albany County;2022;5;159100;154600;4500;02. Aug
Albany County;2022;6;160700;155600;5200;03. Feb
Albany County;2022;7;161200;155700;5400;03. Apr
Albany County;2022;8;160800;155300;5500;03. Apr
Albany County;2022;9;159300;154600;4600;02. Sep
Albany County;2022;10;158700;154400;4300;02. Jul
Albany County;2022;11;157600;153200;4400;02. Aug
Albany County;2022;12;156300;152000;4300;02. Aug
Albany County;2021;1;156700;147500;9200;05. Aug
Albany County;2021;2;157100;147600;9500;6.0
Albany County;2021;3;157400;148600;8800;05. Jun
Albany County;2021;4;157900;150300;7600;04. Aug
Albany County;2021;5;157800;150800;7000;04. Apr
Albany County;2021;6;158700;150900;7800;04. Sep
Albany County;2021;7;159500;152000;7500;04. Jul
Albany County;2021;8;158400;151500;7000;04. Apr
Albany County;2021;9;158200;152300;5900;03. Jul
Albany County;2021;10;158000;152700;5300;03. Apr
Albany County;2021;11;157700;152900;4800;3.0
Albany County;2021;12;155900;151700;4200;02. Jul
Albany County;2020;1;161300;155100;6200;03. Aug
Albany County;2020;2;161100;155000;6100;03. Aug
Albany County;2020;3;160800;153800;7000;04. Apr
Albany County;2020;4;156400;135200;21200;13. Jun
Albany County;2020;5;158700;141400;17300;10. Sep
Albany County;2020;6;160800;145900;15000;09. MŠr
Albany County;2020;7;161800;147700;14200;08. Aug
Albany County;2020;8;161200;150100;11100;06. Sep
Albany County;2020;9;159500;149500;10000;06. MŠr
Albany County;2020;10;158800;150600;8200;05. Jan
Albany County;2020;11;157900;150200;7800;04. Sep
Albany County;2020;12;156600;148400;8200;05. MŠr
Albany County;2019;1;159900;153700;6200;03. Sep
Albany County;2019;2;159400;153200;6100;03. Sep
Albany County;2019;3;160100;154300;5800;03. Jun
Albany County;2019;4;160200;155200;5000;03. Jan
Albany County;2019;5;160600;155600;5000;03. Jan
Albany County;2019;6;162100;156600;5500;03. Apr
Albany County;2019;7;163100;157000;6100;03. Aug
Albany County;2019;8;163000;157000;6100;03. Jul
Albany County;2019;9;162300;156900;5400;03. MŠr
Albany County;2019;10;162900;157400;5400;03. MŠr
Albany County;2019;11;161800;156500;5300;03. MŠr
Albany County;2019;12;160400;154900;5500;03. Apr
Albany County;2018;1;158700;151600;7100;04. Mai
Albany County;2018;2;158800;151500;7300;04. Jun
Albany County;2018;3;159800;153200;6500;04. Jan
Albany County;2018;4;160400;154600;5800;03. Jun
Albany County;2018;5;161200;156000;5300;03. MŠr
Albany County;2018;6;164000;157700;6300;03. Aug
Albany County;2018;7;163200;157000;6200;03. Aug
Albany County;2018;8;162000;156000;5900;03. Jul
Albany County;2018;9;161600;156300;5300;03. MŠr
Albany County;2018;10;162000;156800;5200;03. Feb
Albany County;2018;11;160800;155800;4900;03. Jan
Albany County;2018;12;159900;154500;5300;03. MŠr
Albany County;2017;1;159300;152100;7200;04. Mai
Albany County;2017;2;158900;151600;7400;04. Jun
Albany County;2017;3;160000;153600;6400;4.0
Albany County;2017;4;161200;154900;6300;03. Sep
Albany County;2017;5;160900;154600;6300;03. Sep
Albany County;2017;6;163500;156300;7100;04. Apr
Albany County;2017;7;163200;155900;7300;04. Mai
Albany County;2017;8;162900;155700;7300;04. Mai
Albany County;2017;9;162300;155500;6800;04. Feb
Albany County;2017;10;161700;155100;6500;4.0
Albany County;2017;11;160100;153600;6400;4.0
Albany County;2017;12;159100;152900;6200;03. Sep
Albany County;2016;1;158600;151700;6900;04. Apr
Albany County;2016;2;158300;151300;7000;04. Apr
Albany County;2016;3;158700;152100;6600;04. Feb
Albany County;2016;4;158800;152400;6300;4.0
Albany County;2016;5;158800;152800;6000;03. Aug
Albany County;2016;6;160200;153500;6800;04. Feb
Albany County;2016;7;159900;152900;7000;04. Apr
Albany County;2016;8;159400;152600;6800;04. MŠr
Albany County;2016;9;157900;151200;6700;04. Feb
Albany County;2016;10;158400;152000;6400;4.0
Albany County;2016;11;156900;151000;6000;03. Aug
Albany County;2016;12;156400;150200;6200;4.0
Albany County;2015;1;157500;149500;8000;05. Jan
Albany County;2015;2;156800;149100;7700;04. Sep
Albany County;2015;3;157100;150200;6900;04. Apr
Albany County;2015;4;158000;151200;6800;04. MŠr
Albany County;2015;5;158900;151900;7100;04. Apr
Albany County;2015;6;160500;153100;7500;04. Jun
Albany County;2015;7;159300;151800;7500;04. Jul
Albany County;2015;8;158800;152000;6800;04. MŠr
Albany County;2015;9;157500;151100;6400;04. Jan
Albany County;2015;10;158600;152300;6300;03. Sep
Albany County;2015;11;157700;151600;6100;03. Sep
Albany County;2015;12;157600;151400;6100;03. Sep
Albany County;2014;1;157500;148400;9100;05. Aug
Albany County;2014;2;157200;148000;9200;05. Aug
Albany County;2014;3;157600;149200;8300;05. MŠr
Albany County;2014;4;156600;149500;7100;04. Mai
Albany County;2014;5;157200;149800;7500;04. Aug
Albany County;2014;6;158900;151100;7800;04. Sep
Albany County;2014;7;158300;150100;8200;05. Feb
Albany County;2014;8;157300;149400;7900;5.0
Albany County;2014;9;155700;148500;7200;04. Jun
Albany County;2014;10;157000;150000;7000;04. Apr
Albany County;2014;11;156100;149200;6800;04. Apr
Albany County;2014;12;155000;148400;6700;04. MŠr
Albany County;2013;1;161000;148900;12200;07. Jun
Albany County;2013;2;160300;148800;11500;07. Feb
Albany County;2013;3;160100;149800;10300;06. Mai
Albany County;2013;4;160500;150800;9700;06. Jan
Albany County;2013;5;161400;151400;9900;06. Jan
Albany County;2013;6;163800;153200;10600;06. Apr
Albany County;2013;7;162400;151900;10500;06. Mai
Albany County;2013;8;161500;151400;10100;06. Feb
Albany County;2013;9;160200;150700;9500;05. Sep
Albany County;2013;10;159500;150400;9100;05. Jul
Albany County;2013;11;158900;150600;8400;05. MŠr
Albany County;2013;12;157300;149100;8100;05. Feb
Albany County;2012;1;158300;146400;12000;07. Jun
Albany County;2012;2;158800;146600;12200;07. Jul
Albany County;2012;3;158500;147100;11500;07. Feb
Albany County;2012;4;159600;148700;11000;06. Sep
Albany County;2012;5;160400;148900;11500;07. Feb
Albany County;2012;6;162700;150400;12300;07. Jun
Albany County;2012;7;161600;149100;12600;07. Aug
Albany County;2012;8;161100;149000;12100;07. Mai
Albany County;2012;9;160500;149400;11100;06. Sep
Albany County;2012;10;162000;150900;11000;06. Aug
Albany County;2012;11;161300;151000;10300;06. Apr
Albany County;2012;12;159900;148900;10900;06. Aug
Albany County;2011;1;158200;146300;11900;07. Mai
Albany County;2011;2;158100;146500;11600;07. MŠr
Albany County;2011;3;157700;147000;10800;06. Aug
Albany County;2011;4;158100;147700;10400;06. Jun
Albany County;2011;5;158200;147700;10500;06. Jun
Albany County;2011;6;159700;148200;11400;07. Feb
Albany County;2011;7;159200;147700;11500;07. Feb
Albany County;2011;8;159300;148000;11400;07. Jan
Albany County;2011;9;158500;147400;11100;7.0
Albany County;2011;10;159000;148300;10800;06. Aug
Albany County;2011;11;158300;147800;10500;06. Jun
Albany County;2011;12;157700;146700;11000;7.0
Albany County;2010;1;161700;149300;12400;07. Jul
Albany County;2010;2;161500;149200;12200;07. Jun
Albany County;2010;3;161700;150200;11600;07. Jan
Albany County;2010;4;162800;151600;11200;06. Sep
Albany County;2010;5;162300;151400;10900;06. Jul
Albany County;2010;6;164400;152700;11700;07. Jan
Albany County;2010;7;163300;151300;12000;07. MŠr
Albany County;2010;8;162900;151200;11700;07. Feb
Albany County;2010;9;160800;149700;11100;06. Sep
Albany County;2010;10;160300;149300;11000;06. Sep
Albany County;2010;11;159600;148500;11100;7.0
Albany County;2010;12;158200;147200;11000;06. Sep
Albany County;2009;1;158400;148100;10300;06. Mai
Albany County;2009;2;158700;147800;10900;06. Aug
Albany County;2009;3;158700;148300;10400;06. Jun
Albany County;2009;4;159800;149500;10300;06. Apr
Albany County;2009;5;159600;149000;10600;06. Jun
Albany County;2009;6;162300;150700;11600;07. Feb
Albany County;2009;7;160800;149400;11500;07. Jan
Albany County;2009;8;160500;149100;11500;07. Jan
Albany County;2009;9;158200;146900;11300;07. Feb
Albany County;2009;10;157900;146700;11100;07. Jan
Albany County;2009;11;157100;146300;10800;06. Sep
Albany County;2009;12;155700;144600;11100;07. Jan
Albany County;2008;1;157400;150100;7300;04. Jun
Albany County;2008;2;156900;149600;7300;04. Jun
Albany County;2008;3;157200;150100;7100;04. Mai
Albany County;2008;4;157700;151300;6400;04. Jan
Albany County;2008;5;159500;152200;7200;04. Mai
Albany County;2008;6;162300;154500;7700;04. Aug
Albany County;2008;7;161900;153900;8000;04. Sep
Albany County;2008;8;161500;153400;8100;5.0
Albany County;2008;9;159400;151500;8000;5.0
Albany County;2008;10;160200;152300;7900;04. Sep
Albany County;2008;11;159300;151300;8000;5.0
Albany County;2008;12;158700;150000;8800;05. Mai
Albany County;2007;1;157900;151300;6600;04. Feb
Albany County;2007;2;157200;150800;6400;04. Jan
Albany County;2007;3;157300;151600;5700;03. Jun
Albany County;2007;4;156700;151200;5400;03. Mai
Albany County;2007;5;157500;152000;5500;03. Mai
Albany County;2007;6;160900;154800;6100;03. Aug
Albany County;2007;7;160300;153800;6500;4.0
Albany County;2007;8;159800;153700;6100;03. Aug
Albany County;2007;9;158300;152200;6100;03. Aug
Albany County;2007;10;158400;152600;5900;03. Jul
Albany County;2007;11;158600;152700;6000;03. Aug
Albany County;2007;12;158300;151900;6400;4.0
Albany County;2006;1;158100;151700;6500;04. Jan
Albany County;2006;2;158600;151800;6800;04. MŠr
Albany County;2006;3;158900;152500;6400;4.0
Albany County;2006;4;159300;153300;6000;03. Aug
Albany County;2006;5;159600;153600;6000;03. Aug
Albany County;2006;6;162200;155800;6400;4.0
Albany County;2006;7;161900;155100;6800;04. Feb
Albany County;2006;8;161500;155200;6300;03. Sep
Albany County;2006;9;158100;152100;6000;03. Aug
Albany County;2006;10;158900;153500;5400;03. Apr
Albany County;2006;11;158600;153100;5500;03. Mai
Albany County;2006;12;158500;153100;5400;03. Apr
Albany County;2005;1;157100;150200;6900;04. Apr
Albany County;2005;2;157000;150100;6800;04. MŠr
Albany County;2005;3;156300;150300;6000;03. Aug
Albany County;2005;4;157700;151900;5900;03. Jul
Albany County;2005;5;158500;152400;6100;03. Aug
Albany County;2005;6;160900;154500;6500;4.0
Albany County;2005;7;162000;155300;6700;04. Jan
Albany County;2005;8;162000;156000;6000;03. Jul
Albany County;2005;9;159600;153300;6300;03. Sep
Albany County;2005;10;160300;154500;5700;03. Jun
Albany County;2005;11;159200;153100;6100;03. Aug
Albany County;2005;12;159300;153300;5900;03. Jul
Albany County;2004;1;156700;149000;7700;04. Sep
Albany County;2004;2;156600;149100;7500;04. Aug
Albany County;2004;3;156400;148900;7500;04. Aug
Albany County;2004;4;156600;150100;6500;04. Feb
Albany County;2004;5;157800;151500;6300;4.0
Albany County;2004;6;160400;153400;7100;04. Apr
Albany County;2004;7;161300;154300;6900;04. MŠr
Albany County;2004;8;160800;154500;6400;4.0
Albany County;2004;9;157600;151500;6200;03. Sep
Albany County;2004;10;158200;152200;5900;03. Aug
Albany County;2004;11;158400;152300;6100;03. Aug
Albany County;2004;12;158400;152000;6400;4.0
Albany County;2003;1;157100;149900;7200;04. Jun
Albany County;2003;2;157500;150500;7100;04. Mai
Albany County;2003;3;156600;150100;6500;04. Feb
Albany County;2003;4;157300;150900;6300;4.0
Albany County;2003;5;157400;150900;6500;04. Jan
Albany County;2003;6;160300;153000;7300;04. Mai
Albany County;2003;7;159600;152500;7100;04. Apr
Albany County;2003;8;159700;152900;6800;04. Feb
Albany County;2003;9;156400;149600;6800;04. Apr
Albany County;2003;10;157100;150600;6500;04. Feb
Albany County;2003;11;157200;150600;6600;04. Feb
Albany County;2003;12;156700;150000;6600;04. Feb
Albany County;2002;1;153500;146600;6900;04. Mai
Albany County;2002;2;155700;148800;6900;04. Apr
Albany County;2002;3;156000;149400;6600;04. Feb
Albany County;2002;4;157000;150800;6200;03. Sep
Albany County;2002;5;157400;151300;6100;03. Sep
Albany County;2002;6;159800;153400;6500;4.0
Albany County;2002;7;160000;153500;6500;04. Jan
Albany County;2002;8;161100;155000;6100;03. Aug
Albany County;2002;9;158700;152800;5900;03. Jul
Albany County;2002;10;158400;152800;5600;03. Mai
Albany County;2002;11;157300;151300;5900;03. Aug
Albany County;2002;12;157300;151300;6000;03. Aug
Albany County;2001;1;153700;148200;5500;03. Jun
Albany County;2001;2;152900;147600;5300;03. Mai
Albany County;2001;3;153200;148300;4900;03. Feb
Albany County;2001;4;153300;148800;4500;02. Sep
Albany County;2001;5;153700;149200;4500;02. Sep
Albany County;2001;6;156200;151100;5000;03. Feb
Albany County;2001;7;157100;151800;5300;03. Apr
Albany County;2001;8;157000;151800;5200;03. MŠr
Albany County;2001;9;154500;149300;5200;03. Apr
Albany County;2001;10;155100;149800;5300;03. Apr
Albany County;2001;11;155400;149800;5600;03. Jun
Albany County;2001;12;155300;149500;5800;03. Aug
Albany County;2000;1;154100;148100;6000;03. Sep
Albany County;2000;2;154100;148000;6100;03. Sep
Albany County;2000;3;153400;147900;5500;03. Jun
Albany County;2000;4;153800;149000;4800;03. Jan
Albany County;2000;5;153700;148900;4800;03. Jan
Albany County;2000;6;156800;151800;4900;03. Feb
Albany County;2000;7;155900;150600;5200;03. Apr
Albany County;2000;8;156000;150800;5200;03. MŠr
Albany County;2000;9;152900;147700;5100;03. Apr
Albany County;2000;10;153800;149100;4700;3.0
Albany County;2000;11;153800;149200;4600;3.0
Albany County;2000;12;154500;150000;4500;02. Sep
Albany County;1999;1;157600;152700;4800;03. Jan
Albany County;1999;2;157600;152600;5100;03. Feb
Albany County;1999;3;157900;153200;4700;02. Sep
Albany County;1999;4;157900;153600;4300;02. Jul
Albany County;1999;5;158600;154500;4100;02. Jun
Albany County;1999;6;161000;156700;4300;02. Jul
Albany County;1999;7;160200;155700;4600;02. Aug
Albany County;1999;8;160200;156000;4300;02. Jul
Albany County;1999;9;158500;153500;5000;03. Jan
Albany County;1999;10;158600;154200;4500;02. Aug
Albany County;1999;11;158700;154500;4200;02. Jul
Albany County;1999;12;158300;154100;4200;02. Jul
Albany County;1998;1;158100;152200;6000;03. Aug
Albany County;1998;2;158700;152700;6000;03. Aug
Albany County;1998;3;158200;152800;5500;03. Mai
Albany County;1998;4;158500;154100;4400;02. Aug
Albany County;1998;5;160100;155200;4900;03. Jan
Albany County;1998;6;162200;157600;4700;02. Sep
Albany County;1998;7;161600;157200;4400;02. Jul
Albany County;1998;8;161500;157200;4300;02. Jul
Albany County;1998;9;159100;154300;4800;3.0
Albany County;1998;10;159500;155000;4400;02. Aug
Albany County;1998;11;160200;156100;4000;02. Mai
Albany County;1998;12;159200;155200;3900;02. Mai
Albany County;1997;1;155700;149700;6000;03. Sep
Albany County;1997;2;157000;151100;6000;03. Aug
Albany County;1997;3;158400;152900;5500;03. Mai
Albany County;1997;4;158200;153400;4800;3.0
Albany County;1997;5;159700;154800;4900;03. Jan
Albany County;1997;6;161800;156600;5100;03. Feb
Albany County;1997;7;162200;156800;5300;03. MŠr
Albany County;1997;8;162100;156900;5200;03. Feb
Albany County;1997;9;159000;153400;5700;03. Jun
Albany County;1997;10;159300;154000;5300;03. MŠr
Albany County;1997;11;160000;154900;5100;03. Feb
Albany County;1997;12;159300;154200;5100;03. Feb
Albany County;1996;1;154100;147400;6700;04. Apr
Albany County;1996;2;155200;148900;6400;04. Jan
Albany County;1996;3;155600;149400;6200;4.0
Albany County;1996;4;155600;150200;5400;03. Mai
Albany County;1996;5;156100;150100;6000;03. Aug
Albany County;1996;6;158000;152000;5900;03. Aug
Albany County;1996;7;158600;152300;6300;4.0
Albany County;1996;8;158800;153200;5600;03. Mai
Albany County;1996;9;156700;150700;6000;03. Aug
Albany County;1996;10;157100;151700;5500;03. Mai
Albany County;1996;11;157600;152200;5400;03. Apr
Albany County;1996;12;156500;151400;5100;03. MŠr
Albany County;1995;1;158400;151700;6700;04. Feb
Albany County;1995;2;158900;152500;6400;4.0
Albany County;1995;3;158600;152200;6300;4.0
Albany County;1995;4;158700;152500;6200;03. Sep
Albany County;1995;5;158200;151600;6600;04. Jan
Albany County;1995;6;160200;153500;6700;04. Feb
Albany County;1995;7;161000;154100;6900;04. MŠr
Albany County;1995;8;159500;152600;7000;04. Apr
Albany County;1995;9;156400;149000;7400;04. Jul
Albany County;1995;10;156800;150200;6600;04. Feb
Albany County;1995;11;156400;150300;6000;03. Aug
Albany County;1995;12;155600;149500;6100;03. Sep
Albany County;1994;1;156300;148900;7400;04. Aug
Albany County;1994;2;156700;149200;7500;04. Aug
Albany County;1994;3;155400;148500;6900;04. Mai
Albany County;1994;4;154900;148600;6300;4.0
Albany County;1994;5;155900;149800;6100;03. Sep
Albany County;1994;6;158400;152300;6100;03. Sep
Albany County;1994;7;160900;154100;6700;04. Feb
Albany County;1994;8;160200;154000;6200;03. Sep
Albany County;1994;9;156600;150100;6500;04. Jan
Albany County;1994;10;158000;151900;6100;03. Sep
Albany County;1994;11;157800;151900;5900;03. Jul
Albany County;1994;12;156800;151200;5600;03. Jun
Albany County;1993;1;154600;146700;7900;05. Jan
Albany County;1993;2;154700;147200;7500;04. Aug
Albany County;1993;3;155300;148600;6700;04. MŠr
Albany County;1993;4;154900;148800;6100;03. Sep
Albany County;1993;5;157000;150400;6600;04. Feb
Albany County;1993;6;159700;153200;6500;04. Jan
Albany County;1993;7;160000;153500;6500;04. Jan
Albany County;1993;8;159500;152900;6500;04. Jan
Albany County;1993;9;155300;148600;6800;04. Apr
Albany County;1993;10;156800;150200;6600;04. Feb
Albany County;1993;11;157000;150800;6200;03. Sep
Albany County;1993;12;156600;150300;6300;4.0
Albany County;1992;1;154400;145400;9000;05. Sep
Albany County;1992;2;154000;145200;8900;05. Aug
Albany County;1992;3;154300;146100;8200;05. MŠr
Albany County;1992;4;154100;146700;7400;04. Aug
Albany County;1992;5;154900;147300;7600;04. Sep
Albany County;1992;6;158800;150800;8000;5.0
Albany County;1992;7;160000;151900;8000;5.0
Albany County;1992;8;159900;152300;7600;04. Jul
Albany County;1992;9;155600;147600;8000;05. Jan
Albany County;1992;10;156800;149300;7500;04. Aug
Albany County;1992;11;157000;149500;7500;04. Aug
Albany County;1992;12;156400;149000;7400;04. Jul
Albany County;1991;1;156700;149700;7000;04. Mai
Albany County;1991;2;157100;149700;7400;04. Jul
Albany County;1991;3;156800;149400;7400;04. Jul
Albany County;1991;4;157400;150200;7100;04. Mai
Albany County;1991;5;156500;149400;7100;04. Mai
Albany County;1991;6;161200;153700;7500;04. Jun
Albany County;1991;7;161200;153700;7500;04. Jul
Albany County;1991;8;160400;153000;7400;04. Jun
Albany County;1991;9;156900;149100;7800;5.0
Albany County;1991;10;157300;149900;7500;04. Jul
Albany County;1991;11;157000;149000;8000;05. Jan
Albany County;1991;12;154700;146800;7900;05. Jan
Albany County;1990;1;155700;150700;5000;03. Feb
Albany County;1990;2;155700;150600;5100;03. MŠr
Albany County;1990;3;156300;151700;4700;3.0
Albany County;1990;4;156700;152800;4000;02. Mai
Albany County;1990;5;158100;154000;4100;02. Jun
Albany County;1990;6;161400;157400;4000;02. Mai
Albany County;1990;7;162600;158200;4400;02. Jul
Albany County;1990;8;161700;157300;4400;02. Jul
Albany County;1990;9;158100;153200;4900;03. Jan
Albany County;1990;10;158400;153700;4800;3.0
Albany County;1990;11;157800;152500;5300;03. Apr
Albany County;1990;12;157200;151500;5600;03. Jun
Bronx County;2022;1;612700;545800;66900;10. Sep
Bronx County;2022;2;611700;550700;61000;10.0
Bronx County;2022;3;607800;554200;53600;08. Aug
Bronx County;2022;4;601800;552700;49100;08. Feb
Bronx County;2022;5;599500;554700;44700;07. Mai
Bronx County;2022;6;599500;554200;45400;07. Jun
Bronx County;2022;7;602900;557300;45500;07. Jun
Bronx County;2022;8;601500;557900;43600;07. Feb
Bronx County;2022;9;595800;558900;36900;06. Feb
Bronx County;2022;10;602500;561000;41500;06. Sep
Bronx County;2022;11;602000;560500;41500;06. Sep
Bronx County;2022;12;602800;561700;41100;06. Aug
Bronx County;2021;1;617000;510100;106900;17. MŠr
Bronx County;2021;2;619700;516600;103100;16. Jun
Bronx County;2021;3;619800;523200;96600;15. Jun
Bronx County;2021;4;619000;524100;94800;15. MŠr
Bronx County;2021;5;608400;523000;85400;14.0
Bronx County;2021;6;617600;526100;91500;14. Aug
Bronx County;2021;7;619700;531100;88600;14. MŠr
Bronx County;2021;8;616900;532300;84600;13. Jul
Bronx County;2021;9;607500;534500;73000;12.0
Bronx County;2021;10;609900;540500;69400;11. Apr
Bronx County;2021;11;607400;542800;64600;10. Jun
Bronx County;2021;12;606800;543200;63600;10. Mai
Bronx County;2020;1;627000;591500;35500;05. Jul
Bronx County;2020;2;631700;595700;36000;05. Jul
Bronx County;2020;3;629900;584500;45400;07. Feb
Bronx County;2020;4;548700;467700;81100;14. Aug
Bronx County;2020;5;593300;437800;155500;26. Feb
Bronx County;2020;6;613800;482100;131800;21. Mai
Bronx County;2020;7;624800;486900;137900;22. Jan
Bronx County;2020;8;622100;499000;123100;19. Aug
Bronx County;2020;9;619000;498200;120800;19. Mai
Bronx County;2020;10;617900;509400;108500;17. Jun
Bronx County;2020;11;615300;512300;103000;16. Jul
Bronx County;2020;12;613300;513200;100000;16. MŠr
Bronx County;2019;1;626500;585600;40900;06. Mai
Bronx County;2019;2;629100;591300;37800;6.0
Bronx County;2019;3;627700;592900;34800;05. Mai
Bronx County;2019;4;621200;590500;30700;04. Sep
Bronx County;2019;5;618500;587000;31500;05. Jan
Bronx County;2019;6;622500;589900;32500;05. Feb
Bronx County;2019;7;626800;590600;36200;05. Aug
Bronx County;2019;8;625600;590000;35600;05. Jul
Bronx County;2019;9;622500;591700;30800;04. Sep
Bronx County;2019;10;627100;594100;33000;05. MŠr
Bronx County;2019;11;622500;591700;30800;04. Sep
Bronx County;2019;12;621900;593000;28900;04. Jul
Bronx County;2018;1;629500;589100;40400;06. Apr
Bronx County;2018;2;635500;596100;39400;06. Feb
Bronx County;2018;3;632000;594800;37200;05. Sep
Bronx County;2018;4;625500;592100;33400;05. MŠr
Bronx County;2018;5;621400;590600;30800;5.0
Bronx County;2018;6;627600;591700;36000;05. Jul
Bronx County;2018;7;629000;590600;38400;06. Jan
Bronx County;2018;8;625500;588000;37600;6.0
Bronx County;2018;9;620100;587300;32800;05. MŠr
Bronx County;2018;10;626400;592900;33400;05. MŠr
Bronx County;2018;11;623200;590100;33100;05. MŠr
Bronx County;2018;12;626800;592200;34600;05. Mai
Bronx County;2017;1;630800;587400;43500;06. Sep
Bronx County;2017;2;636400;593700;42600;06. Jul
Bronx County;2017;3;637100;598400;38600;06. Jan
Bronx County;2017;4;631000;595000;36000;05. Jul
Bronx County;2017;5;628900;592300;36600;05. Aug
Bronx County;2017;6;632700;594300;38400;06. Jan
Bronx County;2017;7;640500;597700;42800;06. Jul
Bronx County;2017;8;634300;592100;42200;06. Jun
Bronx County;2017;9;634600;596300;38400;6.0
Bronx County;2017;10;632400;595200;37200;05. Sep
Bronx County;2017;11;629400;593500;35900;05. Jul
Bronx County;2017;12;627100;591700;35500;05. Jul
Bronx County;2016;1;601900;556100;45800;07. Jun
Bronx County;2016;2;607600;562500;45100;07. Apr
Bronx County;2016;3;607200;563300;43900;07. Feb
Bronx County;2016;4;598900;559400;39500;06. Jun
Bronx County;2016;5;596100;557800;38300;06. Apr
Bronx County;2016;6;601000;558400;42600;07. Jan
Bronx County;2016;7;607300;560800;46400;07. Jun
Bronx County;2016;8;606000;560400;45700;07. Mai
Bronx County;2016;9;603000;559900;43100;07. Feb
Bronx County;2016;10;604700;561100;43500;07. Feb
Bronx County;2016;11;601300;561800;39400;06. Jun
Bronx County;2016;12;601000;564000;37000;06. Feb
Bronx County;2015;1;607000;552100;54900;9.0
Bronx County;2015;2;610600;557000;53600;08. Aug
Bronx County;2015;3;607300;558700;48500;8.0
Bronx County;2015;4;603500;558300;45300;07. Mai
Bronx County;2015;5;603600;557600;46100;07. Jun
Bronx County;2015;6;602300;556800;45500;07. Jun
Bronx County;2015;7;605900;558900;47000;07. Aug
Bronx County;2015;8;601700;557000;44700;07. Apr
Bronx County;2015;9;594300;554200;40100;06. Aug
Bronx County;2015;10;600000;558000;42000;7.0
Bronx County;2015;11;599000;556400;42600;07. Jan
Bronx County;2015;12;599800;558500;41300;06. Sep
Bronx County;2014;1;604000;537500;66500;11.0
Bronx County;2014;2;609500;541700;67800;11. Jan
Bronx County;2014;3;608900;544200;64700;10. Jun
Bronx County;2014;4;598900;543000;55800;09. MŠr
Bronx County;2014;5;600000;543300;56700;09. Apr
Bronx County;2014;6;603900;546800;57100;09. Mai
Bronx County;2014;7;606100;546400;59700;09. Aug
Bronx County;2014;8;603000;546000;57000;09. Mai
Bronx County;2014;9;597600;546400;51200;08. Jun
Bronx County;2014;10;604200;551900;52300;08. Jul
Bronx County;2014;11;601800;548900;52900;08. Aug
Bronx County;2014;12;600400;551100;49300;08. Feb
Bronx County;2013;1;600600;522600;78000;13.0
Bronx County;2013;2;601600;526400;75200;12. Mai
Bronx County;2013;3;597400;526900;70500;11. Aug
Bronx County;2013;4;595500;529700;65800;11.0
Bronx County;2013;5;597500;528700;68800;11. Mai
Bronx County;2013;6;601900;529000;72900;12. Jan
Bronx County;2013;7;607700;533600;74100;12. Feb
Bronx County;2013;8;604800;532100;72800;12.0
Bronx County;2013;9;600100;530700;69300;11. Jun
Bronx County;2013;10;602200;531600;70600;11. Jul
Bronx County;2013;11;599900;534000;65800;11.0
Bronx County;2013;12;597200;535200;61900;10. Apr
Bronx County;2012;1;590200;512800;77400;13. Jan
Bronx County;2012;2;596600;517300;79200;13. MŠr
Bronx County;2012;3;596500;519600;76900;12. Sep
Bronx County;2012;4;588900;519000;69900;11. Sep
Bronx County;2012;5;590500;518400;72100;12. Feb
Bronx County;2012;6;594700;518700;76000;12. Aug
Bronx County;2012;7;601200;521400;79800;13. MŠr
Bronx County;2012;8;596500;520100;76500;12. Aug
Bronx County;2012;9;594300;522500;71800;12. Jan
Bronx County;2012;10;598600;524900;73700;12. MŠr
Bronx County;2012;11;593200;523200;70000;11. Aug
Bronx County;2012;12;597500;526500;71000;11. Sep
Bronx County;2011;1;586500;514000;72500;12. Apr
Bronx County;2011;2;586100;515400;70700;12. Jan
Bronx County;2011;3;585500;518000;67500;11. Mai
Bronx County;2011;4;581300;516600;64700;11. Jan
Bronx County;2011;5;581000;515300;65800;11. MŠr
Bronx County;2011;6;582300;513100;69200;11. Sep
Bronx County;2011;7;588500;515700;72800;12. Apr
Bronx County;2011;8;590100;518000;72100;12. Feb
Bronx County;2011;9;586900;515100;71800;12. Feb
Bronx County;2011;10;589900;516700;73200;12. Apr
Bronx County;2011;11;587300;516400;71000;12. Jan
Bronx County;2011;12;589100;517900;71300;12. Jan
Bronx County;2010;1;585300;510300;75100;12. Aug
Bronx County;2010;2;589400;515200;74100;12. Jun
Bronx County;2010;3;588800;516400;72400;12. MŠr
Bronx County;2010;4;589500;519900;69600;11. Aug
Bronx County;2010;5;584400;517000;67400;11. Mai
Bronx County;2010;6;586500;516600;69900;11. Sep
Bronx County;2010;7;590700;517800;72900;12. MŠr
Bronx County;2010;8;590400;518300;72000;12. Feb
Bronx County;2010;9;584300;515100;69200;11. Aug
Bronx County;2010;10;584700;515800;68900;11. Aug
Bronx County;2010;11;583300;513900;69400;11. Sep
Bronx County;2010;12;584400;516900;67500;11. Mai
Bronx County;2009;1;536500;481400;55100;10. MŠr
Bronx County;2009;2;541000;482100;58900;10. Sep
